"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","201,18","629","+3","130","","46",""
"Stormarn","OD","179,40","435","+1","50","","34",""
"Segeberg","SE","129,19","354","+1","44","","7",""
"Kiel","KI","125,84","312","+1","68","","10",""
"Herzogtum Lauenburg","RZ","139,74","274","","49","+1","17",""
"Rendsburg-Eckernförde","RD","95,96","262","","46","","14",""
"Steinburg","IZ","143,60","189","","24","","3",""
"Lübeck","HL","82,75","179","","10","","1",""
"Schleswig-Flensburg","SL","80,70","161","","19","","4",""
"Plön","PLO","97,02","125","+1","28","+1","8",""
"Nordfriesland","NF","55,60","92","","15","","2",""
"Neumünster","NMS","104,62","83","","10","","2",""
"Dithmarschen","HEI","62,20","83","+2","19","+2","4",""
"Ostholstein","OH","40,38","81","","8","","0",""
"Flensburg","FL","58,74","52","+3","6","","3",""
"-"
"Schleswig-Holstein","SH","114,57","3.311","+12","526","+4","155",""

"Datenstand 24.07.2020 19:13:51"
