"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","20","32","3","0"
"05-09","39","38","3","0"
"10-14","50","50","4","0"
"15-19","84","67","4","0"
"20-24","138","125","7","0"
"25-29","161","140","14","0"
"30-34","134","135","14","0"
"35-39","146","114","8","0"
"40-44","127","124","14","0"
"45-49","128","143","21","3"
"50-54","196","181","24","0"
"55-59","188","200","47","6"
"60-64","108","108","43","7"
"65-69","79","83","49","10"
"70-74","70","70","48","18"
"75-79","99","79","87","26"
"80-84","102","95","102","37"
"85-89","67","35","48","26"
"90+","72","19","28","27"

"Datenstand 19.08.2020 21:00:52"
