"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","190,62","596","+3","124","","37",""
"Stormarn","OD","167,44","406","","48","","27",""
"Segeberg","SE","106,92","293","+2","36","","3",""
"Kiel","KI","111,72","277","","64","","9",""
"Herzogtum Lauenburg","RZ","135,66","266","","46","","13","+1"
"Rendsburg-Eckernförde","RD","92,30","252","+1","45","","14",""
"Steinburg","IZ","126,13","166","","19","","3",""
"Lübeck","HL","76,28","165","","8","","1",""
"Schleswig-Flensburg","SL","63,66","127","","12","","3",""
"Plön","PLO","93,14","120","","27","","8",""
"Nordfriesland","NF","50,77","84","","13","","1",""
"Neumünster","NMS","98,32","78","","9","","2",""
"Ostholstein","OH","32,90","66","","6","","0",""
"Dithmarschen","HEI","44,21","59","","13","","3",""
"Flensburg","FL","37,28","33","","6","","2",""
"-"
"Schleswig-Holstein","SH","103,40","2.988","+6","476","","126","+1"

"Datenstand 14.05.2020 21:51:48"
