"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","8","16","3","0"
"05-09","12","15","1","0"
"10-14","14","14","3","0"
"15-19","54","45","3","0"
"20-24","110","89","4","0"
"25-29","126","116","13","0"
"30-34","101","111","9","0"
"35-39","115","79","5","0"
"40-44","96","93","7","0"
"45-49","106","110","18","3"
"50-54","175","159","24","0"
"55-59","176","182","43","6"
"60-64","101","99","40","6"
"65-69","74","73","45","9"
"70-74","66","63","44","18"
"75-79","93","74","81","25"
"80-84","99","89","96","36"
"85-89","61","35","44","24"
"90+","66","18","24","25"

"Datenstand 20.06.2020 18:24:40"
