"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","24","33","3","0"
"05-09","43","41","3","0"
"10-14","54","52","4","0"
"15-19","90","70","4","0"
"20-24","148","137","7","0"
"25-29","171","153","15","0"
"30-34","141","141","14","0"
"35-39","147","117","8","0"
"40-44","131","126","14","0"
"45-49","133","146","21","3"
"50-54","201","184","24","0"
"55-59","190","205","47","6"
"60-64","108","112","43","7"
"65-69","80","84","49","10"
"70-74","70","71","48","18"
"75-79","101","80","88","26"
"80-84","103","95","102","37"
"85-89","68","35","48","26"
"90+","72","20","28","27"

"Datenstand 26.08.2020 18:45:17"
